,Release Date,Time,Actual,Forecast,Previous,Unnamed: 5
0,"Feb 14, 2020 (Jan)",12:00,,2.15%,2.59%,
1,"Jan 14, 2020 (Dec)",12:00,2.59%,2.15%,0.58%,
2,"Dec 16, 2019 (Nov)",12:00,0.58%,0.74%,0.16%,
3,"Nov 14, 2019 (Oct)",12:00,0.16%,0.90%,0.33%,
4,"Oct 14, 2019 (Sep)",12:00,0.33%,0.90%,1.08%,
5,"Sep 16, 2019 (Aug)",12:00,1.08%,1.04%,1.08%,
6,"Aug 14, 2019 (Jul)",12:00,1.08%,1.93%,2.02%,
7,"Jul 15, 2019 (Jun)",12:00,2.02%,2.35%,2.45%,
8,"Jun 14, 2019 (May)",12:00,2.45%,3.10%,3.07%,
9,"May 14, 2019 (Apr)",12:00,3.07%,3.07%,3.18%,
10,"Apr 15, 2019 (Mar)",12:00,3.18%,3.20%,2.93%,
11,"Mar 14, 2019 (Feb)",12:00,2.93%,2.88%,2.76%,
12,"Feb 14, 2019 (Jan)",12:00,2.76%,3.65%,3.80%,
13,"Jan 14, 2019 (Dec)",12:00,3.80%,4.42%,4.64%,
14,"Dec 14, 2018 (Nov)",12:00,4.64%,4.70%,5.28%,
15,"Nov 14, 2018 (Oct)",12:00,5.28%,5.00%,5.13%,
16,"Oct 15, 2018 (Sep)",12:00,5.13%,4.90%,4.53%,
17,"Sep 14, 2018 (Aug)",12:00,4.53%,4.65%,5.09%,
18,"Aug 14, 2018 (Jul)",12:00,5.09%,5.24%,5.77%,
19,"Jul 16, 2018 (Jun)",12:00,5.77%,4.93%,4.43%,
20,"Jun 14, 2018 (May)",12:00,4.43%,3.76%,3.18%,
21,"May 14, 2018 (Apr)",12:00,3.18%,2.86%,2.47%,
22,"Apr 16, 2018 (Mar)",12:00,2.47%,2.58%,2.48%,
23,"Mar 14, 2018 (Feb)",12:00,2.48%,2.50%,2.84%,
24,"Feb 15, 2018 (Jan)",12:00,2.84%,3.25%,3.58%,
25,"Jan 15, 2018 (Dec)",12:00,3.58%,4.00%,3.93%,
26,"Dec 14, 2017 (Nov)",12:00,3.93%,3.78%,3.59%,
27,"Nov 14, 2017 (Oct)",12:00,3.59%,3.01%,2.60%,
28,"Oct 16, 2017 (Sep)",12:00,2.60%,3.41%,3.24%,
29,"Sep 14, 2017 (Aug)",12:00,3.24%,3.00%,1.88%,
30,"Aug 14, 2017 (Jul)",12:00,1.88%,1.30%,0.90%,
31,"Jul 14, 2017 (Jun)",12:00,0.90%,1.60%,2.17%,
32,"Jun 14, 2017 (May)",12:00,2.17%,3.11%,3.85%,
33,"May 12, 2017 (Apr)",17:00,3.85%,4.79%,5.70%,
34,"Apr 17, 2017 (Mar)",12:00,5.70%,5.98%,6.55%,
35,"Mar 14, 2017 (Feb)",12:00,6.55%,5.90%,5.25%,
36,"Feb 14, 2017 (Jan)",12:00,5.25%,3.89%,3.39%,
37,"Jan 16, 2017 (Dec)",12:00,3.39%,3.50%,3.15%,
38,"Dec 14, 2016 (Nov)",12:00,3.15%,3.10%,3.39%,
39,"Nov 15, 2016 (Oct)",12:00,3.39%,3.75%,3.57%,
40,"Oct 14, 2016 (Sep)",12:00,3.57%,3.89%,3.74%,
41,"Sep 14, 2016 (Aug)",12:00,3.74%,4.01%,3.55%,
42,"Aug 16, 2016 (Jul)",12:00,3.55%,2.55%,1.62%,
43,"Jul 14, 2016 (Jun)",12:00,1.62%,1.19%,0.79%,
44,"Jun 14, 2016 (May)",12:00,0.79%,0.42%,0.34%,
45,"May 16, 2016 (Apr)",12:00,0.34%,-0.20%,-0.85%,
46,"Apr 18, 2016 (Mar)",12:00,-0.85%,-0.77%,-0.91%,
47,"Mar 14, 2016 (Feb)",12:00,-0.91%,-0.27%,-0.90%,
